"rank","global_rank","so_answer_id"
1133,6128,"15306026"
1134,6129,"15305967"
1135,6130,"15305986"
1136,6131,"4120268"
1137,6132,"4120257"
1138,6161,"29854193"
1139,6162,"302688"
1140,6165,"4288119"
1141,6166,"4288124"
1142,6191,"39860831"
1143,6192,"6563306"
1144,6193,"32034066"
1145,6201,"14584318"
1146,6202,"14584362"
1147,6204,"14584094"
1148,6206,"14584237"
1149,6224,"15027342"
1150,6236,"69210"
1151,6238,"16793361"
1152,6266,"26010632"
1153,6267,"26010631"
1154,6268,"26010617"
1155,6282,"6792135"
1156,6284,"7613653"
1157,6287,"42671976"
1158,6303,"74780"
1159,6305,"2849632"
1160,6308,"7291092"
1161,6309,"28650035"
1162,6314,"30593294"
1163,6325,"10133538"
1164,6332,"2242421"
1165,6333,"2242486"
1166,6335,"7746017"
1167,6336,"17595303"
1168,6346,"18787304"
1169,6347,"18787334"
1170,6348,"18787263"
1171,6351,"11933909"
1172,6352,"2931078"
1173,6357,"3133958"
1174,6358,"3133805"
1175,6359,"1585540"
1176,6365,"20816499"
1177,6368,"30771209"
1178,6373,"16392922"
1179,6374,"50339757"
1180,6375,"16392961"
1181,6384,"16764329"
1182,6385,"16764387"
1183,6392,"38360134"
1184,6397,"12944441"
1185,6403,"13951176"
1186,6408,"9383149"
1187,6410,"9383062"
1188,6436,"4641546"
1189,6440,"7499264"
1190,6441,"3023414"
1191,6442,"3023340"
1192,6443,"30966945"
1193,6458,"15772033"
1194,6479,"32344736"
1195,6491,"9720023"
1196,6498,"46011166"
1197,6510,"42087461"
1198,6515,"14515817"
1199,6516,"14515860"
1200,6517,"14515734"
1201,6520,"9515570"
1202,6522,"9515546"
1203,6527,"4333298"
1204,6531,"9293022"
1205,6532,"9293001"
1206,6533,"9292995"
1207,6537,"9464309"
1208,6539,"9464435"
1209,6547,"17939617"
1210,6553,"10569139"
1211,6554,"698382"
1212,6573,"6179110"
1213,6574,"6179114"
1214,6575,"7763580"
1215,6582,"14168238"
1216,6583,"12499122"
1217,6589,"2777037"
1218,6595,"7819620"
1219,6601,"29940646"
1220,6613,"12216636"
1221,6617,"21553582"
1222,6621,"28549544"
1223,6633,"12956823"
1224,6634,"17001546"
1225,6660,"6638334"
1226,6662,"6638332"
1227,6663,"6638330"
1228,6667,"8837360"
1229,6683,"18870667"
1230,6684,"18870461"
1231,6685,"20894634"
1232,6686,"12216163"
1233,6687,"12216123"
1234,6689,"12216164"
1235,6692,"12216305"
1236,6701,"903982"
1237,6707,"25963807"
1238,6708,"27699213"
1239,6719,"3796150"
1240,6720,"37208186"
1241,6721,"6176529"
1242,6724,"6358949"
1243,6734,"18528928"
1244,6738,"18528910"
1245,6741,"24278096"
1246,6749,"23751647"
1247,6794,"17651586"
1248,6798,"9273774"
1249,6806,"30479040"
1250,6828,"39445156"
1251,6832,"8924691"
1252,6835,"8924647"
1253,6850,"7013645"
1254,6866,"3023418"
1255,6872,"21303966"
1256,6874,"3318460"
1257,6876,"2281969"
1258,6886,"18871400"
1259,6887,"18871236"
1260,6900,"19238077"
1261,6909,"21999797"
1262,6913,"46343671"
1263,6929,"17974027"
1264,6935,"13350733"
1265,6937,"24732833"
1266,6939,"2269242"
1267,6940,"19727200"
1268,6952,"9108806"
1269,6962,"14278602"
1270,6966,"3168697"
1271,6968,"3168609"
1272,6969,"3168667"
1273,6970,"3168600"
1274,6971,"3168655"
1275,6979,"12564575"
1276,6980,"7535326"
